HGNC_id	gene_short	pathway_id	pathway_name
HGNC=4412	ENSG00000167083	P00048	PI3 kinase pathway      
HGNC=4412	ENSG00000167083	P00057	Wnt signaling pathway      
HGNC=4412	ENSG00000167083	P04373	5HT1 type receptor mediated signaling pathway   
HGNC=4412	ENSG00000167083	P04374	5HT2 type receptor mediated signaling pathway   
HGNC=4412	ENSG00000167083	P04376	5HT4 type receptor mediated signaling pathway   
HGNC=4412	ENSG00000167083	P04377	Beta1 adrenergic receptor signaling pathway    
HGNC=4412	ENSG00000167083	P04378	Beta2 adrenergic receptor signaling pathway    
HGNC=4412	ENSG00000167083	P04379	Beta3 adrenergic receptor signaling pathway    
HGNC=4412	ENSG00000167083	P04380	Cortocotropin releasing factor receptor signaling pathway   
HGNC=4412	ENSG00000167083	P04385	Histamine H1 receptor mediated signaling pathway   
HGNC=4412	ENSG00000167083	P04386	Histamine H2 receptor mediated signaling pathway   
HGNC=4412	ENSG00000167083	P04391	Oxytocin receptor mediated signaling pathway    
HGNC=4412	ENSG00000167083	P04394	Thyrotropin-releasing hormone receptor signaling pathway    
HGNC=4412	ENSG00000167083	P05730	Endogenous_cannabinoid_signaling        
HGNC=4412	ENSG00000167083	P05731	GABA-B_receptor_II_signaling        
HGNC=4412	ENSG00000167083	P05911	Angiotensin II-stimulated signaling through G proteins and beta-arrestin 
HGNC=4412	ENSG00000167083	P05913	Enkephalin release       
HGNC=4412	ENSG00000167083	P05915	Opioid proenkephalin pathway      
HGNC=4412	ENSG00000167083	P05916	Opioid prodynorphin pathway      
HGNC=4412	ENSG00000167083	P05917	Opioid proopiomelanocortin pathway      
HGNC=4540	ENSG00000186810	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=4545	ENSG00000198055	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha 
HGNC=4545	ENSG00000198055	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=4545	ENSG00000198055	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=4545	ENSG00000198055	P05911	Angiotensin II-stimulated signaling through G proteins and beta-arrestin 
HGNC=4566	ENSG00000177885	P00005	Angiogenesis        
HGNC=4566	ENSG00000177885	P00010	B cell activation      
HGNC=4566	ENSG00000177885	P00018	EGF receptor signaling pathway     
HGNC=4566	ENSG00000177885	P00021	FGF signaling pathway      
HGNC=4566	ENSG00000177885	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=4566	ENSG00000177885	P00032	Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade 
HGNC=4566	ENSG00000177885	P00034	Integrin signalling pathway      
HGNC=4566	ENSG00000177885	P00036	Interleukin signaling pathway      
HGNC=4566	ENSG00000177885	P00047	PDGF signaling pathway      
HGNC=4566	ENSG00000177885	P00048	PI3 kinase pathway      
HGNC=4566	ENSG00000177885	P00053	T cell activation      
HGNC=4566	ENSG00000177885	P04393	Ras Pathway       
HGNC=4566	ENSG00000177885	P05912	Dopamine receptor mediated signaling pathway    
HGNC=4566	ENSG00000177885	P06587	Nicotine pharmacodynamics pathway      
HGNC=4566	ENSG00000177885	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=4566	ENSG00000177885	P06959	CCKR signaling map      
HGNC=4580	ENSG00000164418	P00029	Huntington disease       
HGNC=4580	ENSG00000164418	P00037	Ionotropic glutamate receptor pathway     
HGNC=4580	ENSG00000164418	P00039	Metabotropic glutamate receptor group III pathway   
HGNC=4600	ENSG00000179603	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha 
HGNC=4600	ENSG00000179603	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=4600	ENSG00000179603	P00039	Metabotropic glutamate receptor group III pathway   
HGNC=4602	ENSG00000163739	P06959	CCKR signaling map      
HGNC=4684	ENSG00000152402	P00019	Endothelin signaling pathway      
HGNC=4693	ENSG00000143774	P02738	De novo purine biosynthesis     
HGNC=4840	ENSG00000101336	P00049	Parkinson disease       
HGNC=4938	ENSG00000168384	P00053	T cell activation      
HGNC=4938	ENSG00000206291	P00053	T cell activation      
HGNC=4938	ENSG00000224103	P00053	T cell activation      
HGNC=4938	ENSG00000228163	P00053	T cell activation      
HGNC=4938	ENSG00000229685	P00053	T cell activation      
HGNC=4938	ENSG00000231389	P00053	T cell activation      
HGNC=4938	ENSG00000235844	P00053	T cell activation      
HGNC=4938	ENSG00000236177	P00053	T cell activation      
HGNC=4942	ENSG00000196735	P00053	T cell activation      
HGNC=4942	ENSG00000206305	P00053	T cell activation      
HGNC=4942	ENSG00000225890	P00053	T cell activation      
HGNC=4942	ENSG00000228284	P00053	T cell activation      
HGNC=4942	ENSG00000232062	P00053	T cell activation      
HGNC=4942	ENSG00000236418	P00053	T cell activation      
HGNC=4947	ENSG00000204287	P00053	T cell activation      
HGNC=4947	ENSG00000206308	P00053	T cell activation      
HGNC=4947	ENSG00000226260	P00053	T cell activation      
HGNC=4947	ENSG00000227993	P00053	T cell activation      
HGNC=4947	ENSG00000228987	P00053	T cell activation      
HGNC=4947	ENSG00000230726	P00053	T cell activation      
HGNC=4947	ENSG00000234794	P00053	T cell activation      
HGNC=4947	ENSG00000277263	P00053	T cell activation      
HGNC=4983	ENSG00000189403	P00059	p53 pathway       
HGNC=5211	ENSG00000086696	P02727	Androgen/estrogene/progesterone biosynthesis       
HGNC=5541	ENSG00000211899	P00010	B cell activation      
HGNC=5541	ENSG00000282657	P00010	B cell activation      
HGNC=5964	ENSG00000110324	P00036	Interleukin signaling pathway      
HGNC=5966	ENSG00000095752	P00036	Interleukin signaling pathway      
HGNC=5972	ENSG00000081985	P00036	Interleukin signaling pathway      
HGNC=6009	ENSG00000100385	P00036	Interleukin signaling pathway      
HGNC=6026	ENSG00000163464	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=6026	ENSG00000163464	P00036	Interleukin signaling pathway      
HGNC=6027	ENSG00000180871	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=6027	ENSG00000180871	P00036	Interleukin signaling pathway      
HGNC=6091	ENSG00000171105	P00032	Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade 
HGNC=6091	ENSG00000171105	P00033	Insulin/IGF pathway-protein kinase B signaling cascade   
HGNC=6091	ENSG00000171105	P00048	PI3 kinase pathway      
HGNC=6091	ENSG00000171105	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=6146	ENSG00000156886	P00034	Integrin signalling pathway      
HGNC=6147	ENSG00000083457	P00034	Integrin signalling pathway      
HGNC=6149	ENSG00000169896	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=6149	ENSG00000169896	P00034	Integrin signalling pathway      
HGNC=6152	ENSG00000140678	P00034	Integrin signalling pathway      
HGNC=6155	ENSG00000160255	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=6155	ENSG00000160255	P00034	Integrin signalling pathway      
HGNC=6181	ENSG00000123104	P00010	B cell activation      
HGNC=6181	ENSG00000123104	P00019	Endothelin signaling pathway      
HGNC=6181	ENSG00000123104	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=6181	ENSG00000123104	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=6181	ENSG00000123104	P00042	Muscarinic acetylcholine receptor 1 and 3 signaling pathway 
HGNC=6181	ENSG00000123104	P00047	PDGF signaling pathway      
HGNC=6181	ENSG00000123104	P00057	Wnt signaling pathway      
HGNC=6181	ENSG00000123104	P04385	Histamine H1 receptor mediated signaling pathway   
HGNC=6181	ENSG00000123104	P05911	Angiotensin II-stimulated signaling through G proteins and beta-arrestin 
HGNC=6181	ENSG00000123104	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=6188	ENSG00000101384	P00005	Angiogenesis        
HGNC=6188	ENSG00000101384	P00045	Notch signaling pathway      
HGNC=6266	ENSG00000120457	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha 
HGNC=6266	ENSG00000120457	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=6266	ENSG00000120457	P00043	Muscarinic acetylcholine receptor 2 and 4 signaling pathway 
HGNC=652	ENSG00000143761	P00029	Huntington disease       
HGNC=652	ENSG00000143761	P00034	Integrin signalling pathway      
HGNC=6529	ENSG00000043462	P00053	T cell activation      
HGNC=659	ENSG00000165527	P00029	Huntington disease       
HGNC=659	ENSG00000165527	P00034	Integrin signalling pathway      
HGNC=6617	ENSG00000107798	P02727	Androgen/estrogene/progesterone biosynthesis       
HGNC=6621	ENSG00000079435	P02782	Triacylglycerol metabolism       
HGNC=669	ENSG00000155366	P00005	Angiogenesis        
HGNC=669	ENSG00000155366	P00007	Axon guidance mediated by semaphorins    
HGNC=669	ENSG00000155366	P00008	Axon guidance mediated by Slit/Robo    
HGNC=669	ENSG00000155366	P00016	Cytoskeletal regulation by Rho GTPase    
HGNC=669	ENSG00000155366	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=669	ENSG00000155366	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=669	ENSG00000155366	P00034	Integrin signalling pathway      
HGNC=669	ENSG00000155366	P04393	Ras Pathway       
HGNC=669	ENSG00000155366	P05911	Angiotensin II-stimulated signaling through G proteins and beta-arrestin 
HGNC=6698	ENSG00000070018	P00004	Alzheimer disease-presenilin pathway      
HGNC=6698	ENSG00000070018	P00057	Wnt signaling pathway      
HGNC=6698	ENSG00000281324	P00004	Alzheimer disease-presenilin pathway      
HGNC=6698	ENSG00000281324	P00057	Wnt signaling pathway      
HGNC=6711	ENSG00000204487	P00006	Apoptosis signaling pathway      
HGNC=6711	ENSG00000206437	P00006	Apoptosis signaling pathway      
HGNC=6711	ENSG00000223448	P00006	Apoptosis signaling pathway      
HGNC=6711	ENSG00000227507	P00006	Apoptosis signaling pathway      
